"product_id","sku","name","price","color","product_type","product_image"
"5142","FE-01-N01-208-16","Invisible Fan Necklace","1299.0000","White","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/i/n/invisible_fan_necklace.jpg"
"5162","FE-01-N01-305-16","White Ore Statement Necklace","2199.0000","White","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/w/h/white_ore_statement_necklace.jpg"
"5165","FE-01-E01-316-16","Bow Crystal Tassel Earrings","999.0000","White","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/b/o/bow_crystal_tassel_earrings.jpg"
"5176","FE-01-B01-503-16","Forever Love Bracelet","599.0000","Gold","Bracelets","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/f/o/forever_love_bracelet.jpg"
"5186","FE-01-R01-601-16","Circular Sheild Ring","495.0000","Gold","Rings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/F/E/FE-01-R01-601-16_1.jpg"
"5192","FE-01-E01-217-16","Pink Link Dangler Earrings","599.0000","Multi-Color","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/p/i/pink_link_dangler_earrings.jpg"
"5207","FE-01-B01-103-16","Delicate Leaf Hair Pin","399.0000","Gold","Body Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/d/s/dsc_1844.jpg"
"5255","FE-02-E01-506-16","Pearl Tassel Juhmka Earrings","1099.0000","White","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/F/E/FE-02-E01-506-16_1.jpg"
"5258","FE-02-B01-303-16","Lone Leaf Pin","399.0000","Gold","Body Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/F/E/FE-02-B01-303-16_1_1.jpg"
"5490","FE-02-E01-730-16","Square Crystal Pearl Earrings","499.0000","Silver","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/q/square_crystal_pearl_earrings.jpg"
"5675","MR-03-R01-101-16","Crystal Transformic Ring","699.0000","Gold","Rings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/M/R/MR-03-R01-101-16_1.jpg"
"5709","MR-03-E01-404-16","Hallow Flora Earrings","899.0000","Black","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/h/a/hallow_flora_earrings.jpg"
"5720","MR-03-E01-204-16","Semi Circle Tassel Earrings","799.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/e/semi_circle_tassel_earrings.jpg"
"5730","MR-03-E01-214-16","Mini Crystal Lazer Earrings","499.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/m/i/mini_crystal_lazer_earrings.jpg"
"5837","N01P1147","Grand Cursive English Pendant","1400.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/g/r/grand_cursive_english_pendant_1.jpg"
"5845","AP-02-N01-601-16","Noir Punk Choker Necklace","1099.0000","Black","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/n/o/noir_punk_choker_necklace.jpg"
"5849","AP-02-E01-605-16","Vintage Lip Earrings","600.0000","Silver","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/v/i/vintage_lip_earrings.jpg"
"5863","MA-01-E01-308-16","Oval Pearl Hoop Earrings","799.0000","White","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/o/v/oval_pearl_hoop_earrings.jpg"
"5901","NV-01-C01-224-16","Mirror","199.0000","Gold","Charms","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/N/V/NV-01-C01-224-16_1.jpg"
"5902","NV-01-C01-225-16","Perfume","199.0000","Gold","Charms","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/N/V/NV-01-C01-225-16_1_1.jpg"
"5904","NV-01-C01-227-16","Eyeshadow Palette","249.0000","Gold","Charms","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/N/V/NV-01-C01-227-16_1_1.jpg"
"5905","NV-01-C01-228-16","Keychain","349.0000","Gold(FLASH PLATED)","Charms","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/N/V/NV-01-C01-228-16_1.jpg"
"5906","N01P1151","Personalized Cursive English Keychain","899.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/N/0/N01P1151_1.jpg"
"5907","N01P1152","Pb Logo Keychain","700.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/N/0/N01P1152_1.jpg"
"5934","MA-01-E01-503-16","Love Lust Clip On Earrings","545.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/d/s/dsc_4285_copy_1.jpg"
"5949","MA-01-N02-103-16","Cobalt Hem Crystal Necklace","699.0000","White","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/n/e/necklacezoom-cobalt_hem_crystal_necklace_.jpg"
"5978","MA-01-E01-508-16","Rose On Blossom Earrings","699.0000","Orange","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/r/o/rose_on_blossom_earrings.jpg"
"5993","MA-01-E01-518-16","Lush Crystal Earrings","899.0000","Green","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/l/u/lush_crystal_earrings.jpg"
"6017","MA-01-E02-123-16","Octagon With Aztec Earring","749.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/o/c/octagon_with_aztec_earring.jpg"
"6029","MA-01-E02-140-16","Hoops With ""W' Tassels Earrings","799.0000","Black","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/h/o/hoops_with_w_tassels_earrings1.jpg"
"6030","MA-01-E02-141-16","Love In A Triangle Earrings","749.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/l/o/love_in_a_triangle_earrings.jpg"
"6065","MA-01-N02-123-16","Elegant Enlightened Necklace/ Bodychain","1199.0000","Black","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/e/l/elegant_enlightened_necklace.jpg"
"6222","B01P1154","Outline Cursive English Bracelet","1400.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/B/0/B01P1154_1.jpg"
"6223","N01P1155","Dog Bone Name Pendant","1400.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/d/o/dog_bone_name_pendant.jpg"
"6224","N01P1104","Date Cut-Out Bar Pendant","1300.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/d/a/date_cut-out_bar_pendant.jpg"
"6226","N01P1108","Vertical Name Pendant","1400.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/v/e/vertical_name_pendant.jpg"
"6228","N01P1115","Cat Initial Pendant","1400.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/c/a/cat_initial_pendant.jpg"
"6229","N01P1153","Medula Cursive Pendant","1400.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/m/e/medula_cursive_pendant_1.jpg"
"6230","B01P1119","Silver Outline Cursive English Bracelet","1400.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/B/0/B01P1119_1.jpg"
"6231","N01P1120","Silver Dog Bone Name Pendant","1400.0000","Silver","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/i/silver_dog_bone_name_pendant.jpg"
"6232","N01P1121","Silver Date Cut-Out Bar Pendant","1300.0000","Silver","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/i/silver_date_cut-out_bar_pendant.jpg"
"6233","B01P1124","Silver Intricate Name Bracelet","1300.0000","Silver","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/B/0/B01P1124_1.jpg"
"6234","N01P1125","Silver Vertical Name Pendant","1400.0000","Silver","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/i/silver_vertical_name_pendant.jpg"
"6235","B01P1128","Silver Cloud Cut-Out Bracelet","1350.0000","Silver","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/B/0/B01P1128_1.jpg"
"6236","N01P1132","Silver Cat Initial Pendant","1400.0000","Silver","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/i/silver_cat_initial_pendant.jpg"
"6237","N01P1156","Silver Medula Cursive Pendant","1400.0000","Silver","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/i/silver_medula_cursive_pendant_1.jpg"
"6266","JU-01-B01-407-16","Vivid Beads Bracelet","699.0000","Multi-Color","Bracelets","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/w/swarovski_beads_bracelet.jpg"
"6270","JU-01-N01-404-16","Painted Wooden Pendant Necklace","1199.0000","Multi-Color","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/J/U/JU-01-N01-404-16_1.jpg"
"6276","JU-01-B01-410-16","Earthy Tone Beaded Bracelet","699.0000","Multi-Color","Bracelets","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/e/a/earthy_tone_beaded_bracelet.jpg"
"6280","JU-01-E01-503-16","Geometric Gold Earrings","599.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/g/e/geometric_gold_earrings.jpg"
"6282","JU-01-E01-504-16","Semi Round Gold Earrings","599.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/e/semi_round_gold_earrings.jpg"
"6289","JU-01-E01-511-16","Long Circular Earrings","599.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/J/U/JU-01-E01-511-16_1.jpg"
"6300","JU-01-E01-609-16","Silver Long Pin Circular Stud Earrings","749.0000","Silver","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/i/silver_long_pin_circular_stud_earrings.jpg"
"6303","JU-01-E01-612-16","Ear Drop Pendant Earrings","599.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/e/a/ear_drop_pendant_earrings.jpg"
"6305","JU-01-E01-613-16","Long Pin Circular Stud Earrings","749.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/l/o/long_pin_circular_stud_earrings.jpg"
"6318","JU-01-E01-908-16","Circular Smooth Pendant Earrings","649.0000","Silver","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/c/i/circular_smooth_pendant_earrings.jpg"
"6324","JU-01-E01-912-16","Colorful Feather Tassel Earrings","699.0000","Multi-Color","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/J/U/JU-01-E01-912-16_1.jpg"
"6328","JU-01-E01-916-16","Hollow Moon Earrings","749.0000","Silver","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/h/o/hollow_moon_earrings.jpg"
"6330","JU-01-E01-918-16","Circular Ring Silver Earrings","799.0000","Silver","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/c/i/circular_ring_silver_earrings.jpg"
